id,name,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft
530,Sumburgh Airport,LSI,EGPB,59.87889862060547,-1.295560002326965,20
531,Wick Airport,WIC,EGPC,58.45890045166016,-3.09306001663208,126
532,Aberdeen Dyce Airport,ABZ,EGPD,57.20190048217773,-2.197779893875122,215
533,Inverness Airport,INV,EGPE,57.54249954223633,-4.047500133514404,31
534,Glasgow International Airport,GLA,EGPF,55.8718986511,-4.43306016922,26
535,Edinburgh Airport,EDI,EGPH,55.95000076293945,-3.372499942779541,135
536,Islay Airport,ILY,EGPI,55.68190002441406,-6.256669998168945,56
537,Glasgow Prestwick Airport,PIK,EGPK,55.5093994140625,-4.586669921875,65
538,Benbecula Airport,BEB,EGPL,57.48109817504883,-7.362780094146728,19
540,Dundee Airport,DND,EGPN,56.45249938964844,-3.025830030441284,17
541,Stornoway Airport,SYY,EGPO,58.215599060058594,-6.331110000610352,26
542,Tiree Airport,TRE,EGPU,56.49919891357422,-6.869170188903809,38
547,Norwich International Airport,NWI,EGSH,52.6758003235,1.28278005123,117
548,London Stansted Airport,STN,EGSS,51.8849983215,0.234999999404,348
552,Exeter International Airport,EXT,EGTE,50.73440170288086,-3.4138898849487305,102
579,Mount Pleasant Airport,MPN,EGYP,-51.82279968261719,-58.44720077514648,244
580,Amsterdam Airport Schiphol,AMS,EHAM,52.308601,4.76389,-11
582,Maastricht Aachen Airport,MST,EHBK,50.911701,5.77014,375
585,Eindhoven Airport,EIN,EHEH,51.4500999451,5.37452983856,74
586,Eelde Airport,GRQ,EHGG,53.1197013855,6.57944011688,17
591,Rotterdam The Hague Airport,RTM,EHRD,51.956902,4.43722,-15
596,Cork Airport,ORK,EICK,51.84130096435547,-8.491109848022461,502
599,Dublin Airport,DUB,EIDW,53.421299,-6.27007,242
600,Ireland West Knock Airport,NOC,EIKN,53.910301208496094,-8.818490028381348,665
601,Kerry Airport,KIR,EIKY,52.18090057373047,-9.52377986907959,112
603,Shannon Airport,SNN,EINN,52.702,-8.92482,46
605,Waterford Airport,WAT,EIWF,52.187198638916016,-7.086959838867188,119
607,Aarhus Airport,AAR,EKAH,56.2999992371,10.619000434899998,82
608,Billund Airport,BLL,EKBI,55.7402992249,9.15178012848,247
609,Copenhagen Kastrup Airport,CPH,EKCH,55.617900848389,12.656000137329,17
610,Esbjerg Airport,EBJ,EKEB,55.525902,8.5534,97
612,Karup Airport,KRP,EKKA,56.29750061035156,9.124629974365234,170
618,Bornholm Airport,RNN,EKRN,55.06330108642578,14.759599685668944,52
619,Sønderborg Airport,SGD,EKSB,54.96440124511719,9.791729927062988,24
625,Vagar Airport,FAE,EKVG,62.0635986328125,-7.277219772338867,280
628,Aalborg Airport,AAL,EKYT,57.0927589138,9.84924316406,10
629,Luxembourg-Findel International Airport,LUX,ELLX,49.6233333,6.2044444,1234
630,Ålesund Airport,AES,ENAL,62.5625,6.119699954986572,69
631,Andøya Airport,ANX,ENAN,69.292503356934,16.144199371338,43
632,Alta Airport,ALF,ENAT,69.976097106934,23.371700286865,9
634,Brønnøysund Airport,BNN,ENBN,65.461097717285,12.217499732971,25
635,Bodø Airport,BOO,ENBO,67.26920318603516,14.365300178527832,42
636,Bergen Airport Flesland,BGO,ENBR,60.29339981,5.218140125,170
637,Båtsfjord Airport,BJF,ENBS,70.60050201416,29.691400527954,490
638,Kristiansand Airport,KRS,ENCN,58.204201,8.08537,57
640,Bardufoss Airport,BDU,ENDU,69.055801391602,18.540399551392,252
641,"Harstad/Narvik Airport, Evenes",EVE,ENEV,68.491302490234,16.678100585938,84
642,Leirin Airport,VDB,ENFG,61.015598297119,9.2880601882935,2697
643,Florø Airport,FRO,ENFL,61.583599090576,5.0247201919556,37
644,Oslo Lufthavn,OSL,ENGM,60.121,11.0502,681
645,Haugesund Airport,HAU,ENHD,59.34529876709,5.2083601951599,86
646,Hasvik Airport,HAA,ENHK,70.486701965332,22.139699935913,21
647,Kristiansund Airport (Kvernberget),KSU,ENKB,63.111801147461,7.824520111084,204
649,Kirkenes Airport (Høybuktmoen),KKN,ENKR,69.725799560547,29.891300201416,283
651,Molde Airport,MOL,ENML,62.744701385498,7.2624998092651,10
652,Mosjøen Airport (Kjærstad),MJF,ENMS,65.783996582031,13.214900016785,237
653,Banak Airport,LKL,ENNA,70.068801879883,24.973499298096,25
655,Ørland Airport,OLA,ENOL,63.69889831542969,9.604000091552734,28
656,Røros Airport,RRS,ENRO,62.578399658203,11.342300415039,2054
657,"Moss Airport, Rygge",RYG,ENRY,59.378817,10.785439,174
658,"Svalbard Airport, Longyear",LYR,ENSB,78.246101379395,15.465600013733,88
